battery_id,cycle_index,discharge_num,capacity,ambient_temp,mean_discharge_voltage,min_discharge_voltage,max_temperature,mean_temperature,discharge_duration,soh,capacity_fade_rate,rul_warning,rul_eol
B0005,2,1,1.8564874208181574,24.0,3.5298286688693397,2.612467347907089,38.98218133148803,32.572328114029,3690.234,1.0,0.0,100,161.0
B0005,4,2,1.846327249719927,24.0,3.5373201277859714,2.587208728940726,39.033397966787035,32.72523522519307,3672.344,0.9945272071416714,0.01016017109823042,99,160.0
B0005,6,3,1.8353491942234077,24.0,3.5437367282719,2.6519168938437794,38.818796689817404,32.64286193755933,3651.641,0.9886138595081705,0.010978055496519312,98,159.0
B0005,8,4,1.8352625275821128,24.0,3.5436661072601456,2.592947964776547,38.7623045063458,32.51487646204882,3631.563,0.9885671763794173,8.666664129486357e-05,97,158.0
B0005,10,5,1.8346455082120419,24.0,3.5423432526672167,2.547419651124539,38.66539257343368,32.38234901543077,3629.172,0.9882348178817771,0.0006170193700709703,96,157.0
B0005,12,6,1.8356616600675495,24.0,3.5413347346347575,2.5209480504077413,38.75169504640032,32.43418218230641,3652.281,0.9887821697485943,-0.0010161518555076299,95,156.0
B0005,14,7,1.8351461429226603,24.0,3.5410250495075215,2.487927319492314,38.8207012322275,32.480416444757985,3650.828,0.9885044855913476,0.0005155171448891771,94,155.0
B0005,16,8,1.8257567905665537,24.0,3.554133296801584,2.6652049047458775,38.51713023385634,32.41046186109587,3572.453,0.9834468955151549,0.009389352356106606,93,154.0
B0005,18,9,1.8247738529891333,24.0,3.5529355991467955,2.6038584726333673,38.526267904657,32.3461408313,3550.594,0.9829174345738104,0.0009829375774204063,92,153.0
B0005,20,10,1.824613268496936,24.0,3.5512057319376997,2.552853984885676,38.52698128472781,32.27679750791685,3551.25,0.982830935473199,0.00016058449219724658,91,152.0
B0005,22,11,1.8246195526864504,24.0,3.549292319740949,2.4724483018527317,38.54143406601644,32.15709350345252,3530.25,0.9828343204622076,-6.284189514316196e-06,90,151.0
